Metadaten,INVNR,OBJEKT,BEZEICHNUNG,INHALT_DARGESTELLT,MATERIAL,TECHNIK,MASZE,Thema,AUFSCHRIFT_MERKMALE,SP,Th,B,S,Rac,Dmpf,L,Mich,Raf,HK,DC,Rf,T,publiziert_in_Publikation,vorgesehen_zur_Publikation,REFERENT_Eigenschaft_1,REFERENT_Typ_1,QUELLE_Beziehung_REFERENT_1,REFERENT_Zeit_1,REFERENT_Ort_1,REFERENT_Bezeichnung_1,REFERENT_Eigenschaft_2,REFERENT_Typ_2,QUELLE_Beziehung_REFERENT_2,REFERENT_Zeit_2,REFERENT_Ort_2,REFERENT_Bezeichnung_2,REFERENT_Eigenschaft_3,REFERENT_Typ_3,QUELLE_Beziehung_REFERENT_3,REFERENT_Zeit_3,REFERENT_Ort_3,REFERENT_Bezeichnung_3,REFERENT_Eigenschaft_4,REFERENT_Typ_4,QUELLE_Beziehung_REFERENT_4,REFERENT_Zeit_4,REFRENT_Ort_4,REFERENT_Bezeichnung_4,REFERENT_Eigenschaft_5,REFERENT_Typ_5,QUELLE_Beziehung_REFERENT_5,REFERENT_Zeit_5,REFERENT_Ort_5,REFERENT_Bezeichnung_5,REFERENT_Eigenschaft_6,REFERENT_Typ_6,QUELLE_Beziehung_REFERENT_6,REFERENT_Zeit_6,REFERENT_Ort_6,REFERENT_Bezeichnung_6,REFERENT_Eigenschaft_7,REFERENT_Typ_7,QUELLE_Beziehung_REFERENT_7,REFERENT_Zeit_7,REFERENT_Ort_7,REFERENT_Bezeichnung_7,REFERENT_Eigenschaft_8,REFERENT_Typ_8,QUELLE_Beziehung_REFERENT_8,REFERENT_Zeit_8,REFERENT_Ort_8,REFERENT_Bezeichnung_8,REFERENT_Eigenschaft_9,REFERENT_Typ_9,QUELLE_Beziehung_REFERENT_9,REFERENT_Zeit_9,REFERENT_Ort_9,REFERENT_Bezeichnung_9,REFERENT_Eigenschaft_10,REFERENT_Typ_10,QUELLE_Beziehung_REFERENT_10,REFERENT_Zeit_10,REFERENT_Ort_10,REFERENT_Bezeichnung_10,REFERENT_Eigenschaft_11,REFERENT_Typ_11,QUELLE_Beziehung_REFERENT_11,REFERENT_Zeit_11,REFERENT_Ort_11,REFERENT_Bezeichnung_11,,,,,,,AUDIO Text,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,*(E) = Einlage,,Objekttyp: Beschriftung Inventarliste | Beschriftung Kuvert | Beschriftung Kuvert,Semantiken: Abbildung; Text; Beschriftung; Liste; Tabelle; Stempel; Markierung (Farbe); Berechnungen; Nummerierung; Aufzählung; Marginalien; Etiket,Material; Anzahl der Seiten (korreliert mit Anzahl der digitalisierten Bilder),Abbildungstechnik,,,,,,,,,,,,,,,,,,,,,wiedergebend; abbildend; betreffend; zitierend [Liste Standards_Beziehungen 2],| ; | - | > |,| ; | > |,Typus (Objekt) <Name> <Bezeichnung> [Vermutung] (Ort): Darstellungsweise; Inhalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,I.1.8,Skizzenbuch,Skizzenbuch: HvG 1868/2 Rom [Adresse in Rom],Abbildungen; Beschriftungen; Text,94 Blätter Papier,Bleistift (grau); Schreibfeder,130 x 200 mm,,gebunden,x,,,x,,,,,,,,,,,,materiell,Person,verfasst,1868,Rom; Vatikan; München; Bari; Venezia,Heinrich von Geymüller,materiell,Artefakte,wiedergebend,NULL,Rom; Vatikan; München; Bari; Venezia,Objekte [undefiniert] (undefiniert),materiell,natürliche Objekte,wiedergebend,NULL,San Pietro in Montorio,Panorama (San Pietro in Montorio),materiell,Artefakt,zitierend,NULL,NULL,Vasari VIII.; p. 97.,materiell,Artefakt,wiedergebend,NULL,Rom,Zeichnungen (Melozzo da Forlì): Melpomene u.a.,materiell,Artefakt,zietierend,NULL,NULL,Foscolo; Ugo: Divina Commedia; Discorso sul testo della Commedia di Dante/II (1887),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,I.1.8 (E),Postkarte,Postkarte: Skizzenbuch: HvG 1868/2 Rom [Adresse in Rom] / B. T. Batsford 1899,Text; Briefmarke; Stempel,1 Blatt Papier; 2 Seiten,Schreibmaschinenschrift,130 x 180 mm,,,,,,x,,,,,,,,,,,,materiell,Person,verfasst,1899,London,B. T. Batsford [Pbulisher],immateriell,Korrespondenz,betreffend,1899,London > Baden-Baden,"B.T. Batsford (""per W.H.D."") > Heinrich von Geymüller",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,I.1.8 (E),Blatt,Blatt: Skizzenbuch: HvG 1868/2 Rom [Adresse in Rom],Abbildung,1 Blatt Transparentpapier,Schreibfeder,286 x 360 mm,,,,,,x,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Artefakt,wiedergebend,NULL,Rom,Kastell (Rom): Grundriss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,I.1.8 (E),Blatt,Blatt: Skizzenbuch: HvG 1868/2 Rom [Adresse in Rom],Abbildung,1 Blatt Papier,Schreibfeder,180 x 234 mm,,,,,,x,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Artefakte,betreffend,1868,Rom; Vatikan; München; Bari; Venezia,St. Peter; Basilika Constantin; Casa di Raffaello; u.v.a.,immateriell,Konzepte,wiedergebend,,NULL,Bramante; Raffael; Peruzzi; u.v.a.,immateriell,Reise,wiedergebend,,Rom,Reise nach Rom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,I.1.8 (E),Kuvert,Kuvert: Skizzenbuch: HvG 1868/2 Rom [Adresse in Rom],Text; Siegel ,1 Blatt Papier,Schreibfeder,,,Rückseite: Siegel,,,,x,,,,,,,,,,,,materiell,Person,verfasst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,I.1.8 (E),Blatt,Blatt: Skizzenbuch: HvG 1868/2 Rom [Adresse in Rom],Abbildung ,1 Blatt Papier,Druck,,,,,,,x,,,,,,,,,,,,materiell,Person,verfasst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,IV.6.3,Skizzenbuch,Skizzenbuch: 1881/1882 Rom,Abbildungen; Beschriftungen; Text,92 Blätter Papier,Bleistift (grau),125 x 222 mm,,gebunden,x,,,x,,,,,,,,,,,,materiell,Person,verfasst,,,,materiell,Artefakte,wiedergebend,1881; 1882,Rom; Vatikan,St. Peter; diverse Architekturen,materiell,natürliche Objekte,wiedergebend,,Villa Madama (Rom),Panorama,immateriell,Reise,wiedergebend,,Rom,Reise nach Rom,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
